PathwayID,PathwayName,Layer
R-HSA-500792,GPCR ligand binding,2
R-HSA-5173105,O-linked glycosylation,2
R-HSA-5213460,RIPK1-mediated regulated necrosis,2
R-HSA-5221030,"TET1,2,3 and TDG demethylate DNA",2
R-HSA-5250913,Positive epigenetic regulation of rRNA expression,2
R-HSA-5250941,Negative epigenetic regulation of rRNA expression,2
R-HSA-5334118,DNA methylation,2
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,2
R-HSA-5358346,Hedgehog ligand biogenesis,2
R-HSA-5358565,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),2
R-HSA-5358606,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),2
R-HSA-5362517,Signaling by Retinoic Acid,2
R-HSA-5368287,Mitochondrial translation,2
R-HSA-5387390,Hh mutants abrogate ligand secretion,2
R-HSA-5423599,Diseases of Mismatch Repair (MMR),2
R-HSA-5423646,Aflatoxin activation and detoxification,2
R-HSA-5576886,Phase 4 - resting membrane potential,2
R-HSA-5576890,Phase 3 - rapid repolarisation,2
R-HSA-5576892,Phase 0 - rapid depolarisation,2
R-HSA-5576893,Phase 2 - plateau phase,2
R-HSA-5576894,Phase 1 - inactivation of fast Na+ channels,2
R-HSA-5578749,Transcriptional regulation by small RNAs,2
R-HSA-5578768,Physiological factors,2
R-HSA-5578775,Ion homeostasis,2
R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,2
R-HSA-5579031,Defective ACTH causes obesity and POMCD,2
R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,2
R-HSA-5602358,Diseases associated with the TLR signaling cascade,2
R-HSA-5610787,Hedgehog 'off' state,2
R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,2
R-HSA-5619084,ABC transporter disorders,2
R-HSA-5619102,SLC transporter disorders,2
R-HSA-5620912,Anchoring of the basal body to the plasma membrane,2
R-HSA-5620920,Cargo trafficking to the periciliary membrane,2
R-HSA-5620924,Intraflagellar transport,2
R-HSA-5620971,Pyroptosis,2
R-HSA-5621481,C-type lectin receptors (CLRs),2
R-HSA-5632684,Hedgehog 'on' state,2
R-HSA-5652084,Fructose metabolism,2
R-HSA-5653890,Lactose synthesis,2
R-HSA-5657655,MGMT-mediated DNA damage reversal,2
R-HSA-5660489,MTF1 activates gene expression,2
R-HSA-5661231,Metallothioneins bind metals,2
R-HSA-5661270,Formation of xylulose-5-phosphate,2
R-HSA-5662702,Melanin biosynthesis,2
R-HSA-5663084,Diseases of carbohydrate metabolism,2
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,2
R-HSA-5684996,MAPK1/MAPK3 signaling,2
R-HSA-5687128,MAPK6/MAPK4 signaling,2
R-HSA-5687613,Diseases associated with surfactant metabolism,2
R-HSA-5688426,Deubiquitination,2
R-HSA-5693538,Homology Directed Repair,2
R-HSA-5693571,Nonhomologous End-Joining (NHEJ),2
R-HSA-5693606,DNA Double Strand Break Response,2
R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),2
R-HSA-674695,RNA Polymerase II Pre-transcription Events,2
R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),2
R-HSA-6782315,tRNA modification in the nucleus and cytosol,2
R-HSA-6784531,tRNA processing in the nucleus,2
R-HSA-6785470,tRNA processing in the mitochondrion,2
R-HSA-6787450,tRNA modification in the mitochondrion,2
R-HSA-6794361,Neurexins and neuroligins,2
R-HSA-6798163,Choline catabolism,2
R-HSA-6798695,Neutrophil degranulation,2
R-HSA-6802957,Oncogenic MAPK signaling,2
R-HSA-6803157,Antimicrobial peptides,2
R-HSA-6806667,Metabolism of fat-soluble vitamins,2
R-HSA-6806834,Signaling by MET,2
R-HSA-6807505,RNA polymerase II transcribes snRNA genes,2
R-HSA-6809371,Formation of the cornified envelope,2
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,2
R-HSA-68867,Assembly of the pre-replicative complex,2
R-HSA-68886,M Phase,2
R-HSA-68952,DNA replication initiation,2
R-HSA-68962,Activation of the pre-replicative complex,2
R-HSA-69052,Switching of origins to a post-replicative state,2
