PathwayID,PathwayName,GeneSymbol
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,KIAA1141
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,LSM10
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,LSM11
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,NCBP
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,NCBP1
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,NCBP2
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,PBSCF
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,PBSCG
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,PIG55
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPB
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPB1
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPD3
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPE
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPF
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,SNRPG
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,ZFP100
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,ZNF473
R-HSA-112303,Electric Transmission Across Gap Junctions,CX62
R-HSA-112303,Electric Transmission Across Gap Junctions,GJA10
R-HSA-112303,Electric Transmission Across Gap Junctions,GJA7
R-HSA-112303,Electric Transmission Across Gap Junctions,GJA9
R-HSA-112303,Electric Transmission Across Gap Junctions,GJC1
R-HSA-112303,Electric Transmission Across Gap Junctions,GJD2
R-HSA-112303,Electric Transmission Across Gap Junctions,MRS1
R-HSA-112303,Electric Transmission Across Gap Junctions,PANX1
R-HSA-112303,Electric Transmission Across Gap Junctions,PANX2
R-HSA-112303,Electric Transmission Across Gap Junctions,UNQ2529/PRO6028
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACH4
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACH5
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACH6
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACN3
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA1A
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA1B
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA1E
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA2D1
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA2D2
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNA2D3
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNB1
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNB2
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNB3
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNB4
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNG2
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNG4
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNL1A4
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNL1A5
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNL1A6
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNLB1
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNLB2
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNLB3
R-HSA-112308,Presynaptic depolarization and calcium channel opening,CACNLB4
R-HSA-112308,Presynaptic depolarization and calcium channel opening,KIAA0558
R-HSA-112308,Presynaptic depolarization and calcium channel opening,MYSB
R-HSA-112310,Neurotransmitter release cycle,ABAT
R-HSA-112310,Neurotransmitter release cycle,ALDH5A1
R-HSA-112310,Neurotransmitter release cycle,APBA1
R-HSA-112310,Neurotransmitter release cycle,ARL6IP5
R-HSA-112310,Neurotransmitter release cycle,ASAHL
R-HSA-112310,Neurotransmitter release cycle,ATA2
R-HSA-112310,Neurotransmitter release cycle,BGT1
R-HSA-112310,Neurotransmitter release cycle,BNPI
R-HSA-112310,Neurotransmitter release cycle,BZRAP1
R-HSA-112310,Neurotransmitter release cycle,CASK
R-HSA-112310,Neurotransmitter release cycle,CHAT
R-HSA-112310,Neurotransmitter release cycle,CHT1
R-HSA-112310,Neurotransmitter release cycle,CLN4
R-HSA-112310,Neurotransmitter release cycle,CPLX1
R-HSA-112310,Neurotransmitter release cycle,DERP11
R-HSA-112310,Neurotransmitter release cycle,DNAJC5
R-HSA-112310,Neurotransmitter release cycle,EAAC1
R-HSA-112310,Neurotransmitter release cycle,EAAT1
R-HSA-112310,Neurotransmitter release cycle,EAAT2
R-HSA-112310,Neurotransmitter release cycle,EAAT3
R-HSA-112310,Neurotransmitter release cycle,EAAT4
R-HSA-112310,Neurotransmitter release cycle,EAAT5
R-HSA-112310,Neurotransmitter release cycle,GA
R-HSA-112310,Neurotransmitter release cycle,GABAT
R-HSA-112310,Neurotransmitter release cycle,GABATR
R-HSA-112310,Neurotransmitter release cycle,GABT1
R-HSA-112310,Neurotransmitter release cycle,GABT3
R-HSA-112310,Neurotransmitter release cycle,GAD
R-HSA-112310,Neurotransmitter release cycle,GAD1
R-HSA-112310,Neurotransmitter release cycle,GAD2
R-HSA-112310,Neurotransmitter release cycle,GAD65
R-HSA-112310,Neurotransmitter release cycle,GAD67
R-HSA-112310,Neurotransmitter release cycle,GAT1
